tau,x,y,theta,v,omega,v2_plus_omega2
7.014028056112224518e-02,-6.269678383641229258e-02,-3.991985382229301139e-03,1.486598837499078785e-01,-3.424434787859336748e-01,1.372126985317681180e+00,2.000000000000000000e+00
7.214428857715429744e-02,-6.378529848107414302e-02,-4.157464148680266487e-03,1.531572774785274482e-01,-3.301258730659884510e-01,1.375142504590858294e+00,2.000000000000000000e+00
7.414829659318636357e-02,-6.483316060027373429e-02,-4.321591005357936811e-03,1.576643657855262004e-01,-3.177750165341448052e-01,1.378048997266325015e+00,1.999999999999999778e+00
7.615230460921842970e-02,-6.584029814073456832e-02,-4.483995945922280776e-03,1.621807909445753815e-01,-3.053920986758659750e-01,1.380845996505892126e+00,2.000000000000000000e+00
7.815631262525049583e-02,-6.680664569686767251e-02,-4.644306959893848390e-03,1.667061937273552341e-01,-2.929783183234951904e-01,1.383533051644353362e+00,2.000000000000000444e+00
8.016032064128256196e-02,-6.773214455785549204e-02,-4.802150177780152400e-03,1.712402134568883627e-01,-2.805348833428286670e-01,1.386109728422618703e+00,2.000000000000000000e+00
8.216432865731462809e-02,-6.861674275143032908e-02,-4.957150017809248445e-03,1.757824880616239149e-01,-2.680630103129164610e-01,1.388575609213260620e+00,2.000000000000000888e+00
8.416833667334668034e-02,-6.946039508429141529e-02,-5.108929334174975787e-03,1.803326541302474328e-01,-2.555639241993098998e-01,1.390930293238251902e+00,2.000000000000000000e+00
8.617234468937874647e-02,-7.026306317910784027e-02,-5.257109566696234471e-03,1.848903469671906719e-01,-2.430388580209730254e-01,1.393173396778685902e+00,2.000000000000000444e+00
8.817635270541081260e-02,-7.102471550805740386e-02,-5.401310891790639911e-03,1.894552006488141593e-01,-2.304890525110901423e-01,1.395304553376265577e+00,2.000000000000000000e+00
9.018036072144287874e-02,-7.174532742285527620e-02,-5.541152374661072709e-03,1.940268480802361251e-01,-2.179157557720030058e-01,1.397323414026372390e+00,2.000000000000000000e+00
9.218436873747494487e-02,-7.242488118122913932e-02,-5.676252122591817460e-03,1.986049210527791320e-01,-2.053202229245241761e-01,1.399229647362513429e+00,2.000000000000000000e+00
9.418837675350701100e-02,-7.306336596980125830e-02,-5.806227439249384871e-03,2.031890503020063465e-01,-1.927037157518744215e-01,1.401022939831972014e+00,2.000000000000000444e+00
9.619238476953906325e-02,-7.366077792334126129e-02,-5.930694979881575429e-03,2.077788655663181105e-01,-1.800675023385045481e-01,1.402702995862478597e+00,2.000000000000000000e+00
9.819639278557112938e-02,-7.421712014035702909e-02,-6.049270907306951613e-03,2.123739956460794498e-01,-1.674128567040623350e-01,1.404269538019744079e+00,2.000000000000000444e+00
